# t [s], pressure [Bar], voltage [V]
4.095475711999999824e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.095737856000000399e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.096000000000000085e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.096262144000000660e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.096524288000000347e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.096786432000000033e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.097048576000000608e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.097310720000000295e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.097572863999999981e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.097835008000000556e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.098097152000000243e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.098359295999999929e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.098621440000000504e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.098883584000000191e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.099145727999999878e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.099407872000000452e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.099670016000000139e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.099932159999999826e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.100194304000000400e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.100456448000000087e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.100718592000000662e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.100980736000000348e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.101242880000000035e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.101505024000000610e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.101767168000000297e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.102029311999999983e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.102291456000000558e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.102553600000000245e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.102815743999999931e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.103077888000000506e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.103340032000000193e+00,-3.499999999999999964e-04,2.500000000000000052e-03
